id;id_documento;d_oa_data;num_item;codice_commessa_convenzione;codice_cup;codice_cig
1;Kwanza Credit Card A;Refined;multi-byte;knowledge base Functionality navigating;open-source Ind;intuitive
2;Steel;Kyat;white Orchestrator;Customer-focused Ohio;Internal transm;Turnpike
3;cross-platform Bacon;knowledge ;Computer;Island Cambridgeshire generating;Shirt;multi-byte
4;navigate online disi;Solutions;UIC-Franc;Comoro Franc;Checking Accoun;communities
5;payment;Director W;bypassing Inverse Cr;Auto Loan Account Program;Taka withdrawal;Palestinian Ter
6;Creative Licensed Pl;e-enable V;action-items;relationships Pataca withdrawal;maroon;Towels
7;Sports;Rustic Cot;Intelligent installa;port Paradigm gold;Unbranded Grani;evolve
8;internet solution Ha;programmin;Beauty Configuration;drive;Bedfordshire ap;Bedfordshire su
9;pink HTTP;solution-o;Yemeni Rial Graphic ;cutting-edge;synthesizing ex;bluetooth heuri
10;auxiliary Orchestrat;North Kore;mint green Generic F;Turkmenistan users;Wooden;content transmi
