id;nome_attachment;algoritmo_compressione;formato_attachment;descrizione_attachment;attachment
1;Buckinghamshire Rustic;Cotton pay;bypassing;Computer Future;Pants Metal back-end
2;Dominican Peso;Generic St;Global Del;methodologies strategic Chicken;Lebanese Pound
3;Rand Namibia Dollar Public-key Concrete;open-sourc;navigating;markets;Rhode Island
4;Division;Directives;Multi-laye;Kids Fish end-to-end;application
5;Iranian Rial;Investment;Licensed;Upgradable invoice transition;Computer Small Rubber Salad
6;client-driven backing up Assistant;Gorgeous;payment Ma;Sleek transmit deposit;Director Associate Fish
7;Bhutan;reciprocal;grey asymm;Administrator payment;panel Principal
8;backing up;Movies;Handcrafte;solid state Networked;indexing
9;Handmade Rubber Fish Officer;out-of-the;Plastic;French Polynesia Supervisor;invoice ADP
10;redundant Personal Loan Account;redundant ;platforms ;invoice;Monitored
