id;tipo_cassa;al_cassa;importo_contributo_cassa;imponibile_cassa;aliquota_iva;ritenuta;natura;riferimento_amministrazione
1;Admi;hierar;Incredible Soft;Handmade Cotton;Handcr;in;Li;Nevada haptic
2;wire;Danish;monitor leverag;pink Regional;Salad ;in;Ne;Lakes
3;port;Persis;ADP;International B;Ohio;de;Pr;Pataca motivating
4;calc;turquo;compressing Han;online parse in;synthe;in;4t;SCSI Stand-alone
5;depo;hardwa;circuit;Technician bypa;compre;Re;ne;Organized Incredible
6;Solu;cuttin;Handcrafted;Advanced;Shoes;Cr;To;AI Maryland
7;Tast;panel ;JSON cultivate;extensible New ;Wells;An;Ro;Street Indian Rupee 
8;Tast;Avon P;Technician Gorg;Investment Acco;North ;Ca;Ch;wireless Interaction
9;with;Soap T;Awesome pixel F;Handcrafted Ste;Invest;AG;Sa;SMTP grey transmitte
10;SAS;Manage;cyan;Home Loan Accou;bypass;Co;Ch;Practical Concrete M
